"Haltestellen_Id";"Haltestellennummer";"Haltestellenkurzname";"Haltestellenlangname"
193;2017;"RADI";"Zürich, Radiostudio"
650;2120;"RAEF";"Zürich, Räffelstrasse"
297;2030;"RATH";"Zürich, Rathaus"
331;2033;"RAUH";"Zürich, Rautihalde"
450;2034;"RAUT";"Zürich, Rautistrasse"
395;2035;"REBE";"Zürich, Rebbergsteig"
118;2045;"REGB";"Zürich, Regensbergbrücke"
18;2549;"REHA";"Zürich, Rehalp"
131;2054;"RENN";"Zürich, Rennweg"
68;2055;"RENT";"Zürich, Rentenanstalt"
699;2067;"RIED";"Zürich, Riedbach"
29;2069;"RIEG";"Zürich, Riedgraben"
364;3122;"RIEH";"Zürich, Riedhofstrasse"
101;2090;"BERG";"Zürich, Rigiblick"
41;2124;"ROEM";"Zürich, Römerhof"
200;2127;"ROEN";"Zürich, Röntgenstrasse"
191;2104;"ROSE";"Zürich, Rosengartenstrasse"
494;2128;"ROES";"Zürich, Röslistrasse"
495;2107;"ROSW";"Zürich, Roswiesen"
198;2108;"ROTB";"Zürich, Rotbuchstrasse"
338;2109;"ROTE";"Zürich, Rote Fabrik"
298;2113;"RBRU";"Zürich, Rudolf-Brun-Brücke"
403;2140;"RUET";"Zürich, Rütihof"
147;2550;"SAAL";"Zürich, Saalsporthalle"
30;2145;"SAAT";"Zürich, Saatlenstrasse"
422;2147;"SACK";"Zürich, Sackzelg"
684;3156;"SAED";"Zürich, Sädlenweg"
158;2151;"SALE";"Zürich, Salersteig"
330;2152;"SALZ";"Zürich, Salzweg"
426;2142;"SBBW";"Zürich, SBB-Werkstätte"
163;2158;"SPLA";"Zürich, Schaffhauserplatz"
106;6776;"SANZ";"Zürich, Schanzackerstrasse"
99;2314;"SAPI";"Zürich, Schäppiweg"
721;3458;"PSCH";"Zürich, Schauenberg"
177;2160;"SCHA";"Zürich, Schaufelbergerstrasse"
419;2164;"SCHZ";"Zürich, Scheuchzerstrasse"
190;6759;"SBAU";"Zürich, Schiffbau"
432;2251;"SYFI";"Zürich, Schlyfi"
173;2256;"SWIE";"Zürich, Schmiede Wiedikon"
388;2320;"SCHG";"Zürich, Schönauring"
469;2326;"SCHO";"Zürich, Schörlistrasse"
423;3155;"ALTW";"Zürich, Schulhaus Altweg"
332;2276;"BUCL";"Zürich, Schulhaus Buchlern"
445;2289;"SWEG";"Zürich, Schumacherweg"
33;2329;"SURG";"Zürich, Schürgistrasse"
658;3566;"SHOE";"Zürich, Schützenhaus Höngg"
120;2294;"SCHW";"Zürich, Schwamendingerplatz"
109;2298;"SHOL";"Zürich, Schwandenholz"
369;2302;"SHOF";"Zürich, Schweighof"
334;3477;"SRUC";"Zürich, Schweizer Rück"
397;2306;"SCHT";"Zürich, Schwert"
157;2346;"SEEB";"Zürich, Seebach"
156;1275;"SEPL";"Zürich, Seebacherplatz"
339;2834;"SEER";"Zürich, Seerose"
401;2364;"SEGA";"Zürich, Segantinistrasse"
717;3767;"SEGE";"Zürich, Segeten"
429;2366;"SEID";"Zürich, Seidelhof"
57;2367;"RIGI";"Zürich, Seilbahn Rigiblick"
479;2385;"SIEM";"Zürich, Siemens"
411;2388;"SIGN";"Zürich, Signaustrasse"
370;6463;"SIHC";"Zürich, Sihlcity"
146;2771;"SIHN";"Zürich, Sihlcity Nord"
169;1366;"SIHP";"Zürich, Sihlpost / HB"
134;2395;"SIHL";"Zürich, Sihlquai/HB"
288;2396;"SIHS";"Zürich, Sihlstrasse"
79;2398;"SIHW";"Zürich, Sihlweidstrasse"
400;2402;"SING";"Zürich, Singlistrasse"
327;6003;"SOLP";"Zürich, Solidapark"
492;2411;"SONN";"Zürich, Sonneggstrasse"
475;2449;"SPOW";"Zürich, Sportweg"
410;2450;"SPRE";"Zürich, Sprecherstrasse"
417;2451;"SPYR";"Zürich, Spyriplatz"
102;2452;"SPYS";"Zürich, Spyristeig"
340;2461;"STAD";"Zürich, Stadtgrenze"
166;2474;"STAM";"Zürich, Stampfenbachplatz"
664;3768;"STBU";"Zürich, Staudenbühl"
170;2556;"STAU";"Zürich, Stauffacher"
26;2572;"SOER";"Zürich, Sternen Oerlikon"
683;6117;"SRIE";"Zürich, Stierenried"
129;2582;"STOC";"Zürich, Stockerstrasse"
718;3765;"STOD";"Zürich, Stodolastrasse"
150;2596;"STRV";"Zürich, Strassenverkehrsamt"
97;2598;"STRI";"Zürich, Strickhof"
335;3522;"SUKK";"Zürich, Sukkulentensammlung"
72;2618;"SUSE";"Zürich, Susenbergstrasse"
175;2638;"TALW";"Zürich, Talwiesenstrasse"
473;3453;"TECH";"Zürich, Technopark"
487;2659;"THUJ";"Zürich, Thujastrasse"
468;2666;"TIER";"Zürich, Tierspital"
40;2667;"TITL";"Zürich, Titlisstrasse"
262;2671;"TOBE";"Zürich, Tobelhof"
70;2673;"TOBL";"Zürich, Toblerplatz"
474;718;"TONA";"Zürich, Toni-Areal"
715;3769;"TFUS";"Zürich, Trichtenhausenfussweg"
714;6416;"TRSA";"Zürich, Trichtisal"
178;2680;"TRIE";"Zürich, Triemli"
455;2682;"TRIS";"Zürich, Triemlispital"
244;2707;"TUEF";"Zürich, Tüffenwies"
799;2688;"TULP";"Zürich, Tulpenstrasse"
128;2689;"TUNN";"Zürich, Tunnelstrasse"
149;2722;"UETL";"Zürich, Uetlihof"
53;1334;"IRCH";"Zürich, Universität Irchel"
110;2737;"UAFF";"Zürich, Unteraffoltern"
451;2754;"UNTM";"Zürich, Untermoosstrasse"
82;2776;"VERE";"Zürich, Verenastrasse"
418;2779;"VOGE";"Zürich, Vogelsangstrasse"
62;2788;"VOLT";"Zürich, Voltastrasse"
232;3588;"VULK";"Zürich, Vulkanstrasse"
490;6019;"WAFB";"Zürich, Waffenplatz-/Bederstr."
145;2795;"WAFF";"Zürich, Waffenplatzstrasse"
374;2799;"WAIB";"Zürich, Waidbadstrasse"
801;2800;"WAIF";"Zürich, Waidfussweg"
108;2801;"WAIH";"Zürich, Waidhof"
372;2803;"WAIS";"Zürich, Waidspital"
380;2814;"WALD";"Zürich, Waldgarten"
39;2815;"WDOL";"Zürich, Waldhaus Dolder"
448;2831;"WART";"Zürich, Wartau"
434;2836;"WASE";"Zürich, Waserstrasse"
371;2858;"WEIH";"Zürich, Weihersteig"
171;6238;"WERE";"Zürich, Werd"
230;2872;"WERD";"Zürich, Werdhölzli"
465;2879;"WETL";"Zürich, Wetlistrasse"
626;2889;"WIDM";"Zürich, Widmerstrasse"
399;2899;"WIES";"Zürich, Wieslergasse"
716;3772;"WACH";"Zürich, Wiesliacher"
294;2907;"WILD";"Zürich, Wildbachstrasse"
58;2924;"WINK";"Zürich, Winkelriedstrasse"
243;2934;"WINH";"Zürich, Winzerhalde"
449;2935;"WINZ";"Zürich, Winzerstrasse"
241;6015;"WINS";"Zürich, Winzerstrasse Süd"
615;2937;"WIPK";"Zürich, Wipkingerplatz"
152;2950;"WOLP";"Zürich, Wollishoferplatz"
90;2956;"WONE";"Zürich, Wonnebergstrasse"
477;6648;"WURZ";"Zürich, Würzgraben"
113;2968;"ZEHN";"Zürich, Zehntenhausplatz"
435;617;"ZENW";"Zürich, Zentrum Witikon"
728;2998;"ZIEL";"Zürich, Zielweg"
73;3005;"ZOO";"Zürich, Zoo"
263;4;"ZOOF";"Zürich, Zoo/Forrenweid"
71;3045;"ZUER";"Zürich, Zürichbergstrasse"
438;3011;"ZWEI";"Zürich, Zweiackerstrasse"
447;3015;"ZWIE";"Zürich, Zwielplatz"
204;3018;"ZWIN";"Zürich, Zwinglihaus"
273;3019;"ZYPR";"Zürich, Zypressenstrasse"
203;1357;"KALK";"Zürich,Kalkbreite/Bhf.Wiedikon"
44;6594;"AHOR";"Adliswil, Ahornweg"
639;148;"ABAD01";"Adliswil, Badstrasse"
641;28;"BADL01";"Adliswil, Bahnhof"
738;1004;"BALD01";"Adliswil, Baldernstrasse"
736;514;"BACK01";"Adliswil, Bodenacker"
733;602;"BUEC01";"Adliswil, Büchel"
638;7041;"ADIE01";"Adliswil, Dietlimoos"
735;830;"FBLU01";"Adliswil, Feldblumenstrasse"
640;6961;"AGRU";"Adliswil, Grundstrasse"
644;6437;"GRUT";"Adliswil, Grüt"
45;1227;"HOFA01";"Adliswil, Hofackerstrasse"
642;1462;"KROA01";"Adliswil, Krone"
732;1496;"LANJ01";"Adliswil, Landolt-Junker-Str."
637;6592;"ADMO";"Adliswil, Moos"
734;2006;"POST01";"Adliswil, Poststrasse"
739;2087;"RIFE01";"Adliswil, Rifertstrasse"
740;2280;"SHKO01";"Adliswil, Schulhaus Kopfholz"
636;7042;"ASUN01";"Adliswil, Sunnau"
643;2660;"TIAK01";"Adliswil, Tiefacker"
731;2830;"WANH01";"Adliswil, Wanneten-/Haldenstr."
737;2015;"ADZOPF01";"Adliswil, Zopf"
